media_score,varianza_params,prob_mut,prob_cross
0.6906755877742948,0.12816282306647958,0.4,0.6
0.7024354623824451,0.12751788331862224,0.30000000000000004,0.7
0.7181956504702195,0.1227062936889562,0.20000000000000004,0.7999999999999999
0.7254236677115987,0.11469312584349932,0.30000000000000004,0.7
0.7271241771159874,0.11690584623064092,0.4,0.6
0.725048432601881,0.12497907384992289,0.30000000000000004,0.7
0.7318527821316613,0.11958252542287387,0.4,0.6
0.7278502351097177,0.12147562234342373,0.30000000000000004,0.7
0.7299254310344827,0.12833414316019368,0.20000000000000004,0.7999999999999999
0.7360048197492162,0.12015420519140609,0.10000000000000003,0.8999999999999999
0.7377938871473354,0.10641069336936831,0.20000000000000004,0.7999999999999999
0.7351427507836991,0.10628078226699635,0.30000000000000004,0.7
0.7308276253918494,0.11254257241040037,0.4,0.6
0.7310263322884012,0.12006094236605808,0.30000000000000004,0.7
0.736517985893417,0.11313863971731082,0.4,0.6
0.731552115987461,0.12284596330969871,0.30000000000000004,0.7
0.7367173589341691,0.11102919869538944,0.4,0.6
0.7327902429467085,0.11729318444227159,0.5,0.5
0.7259230799373039,0.11827323557230479,0.6,0.4
0.7275230407523512,0.1349624925806068,0.5,0.5
0.7336783699059563,0.13412128669668846,0.4,0.6
0.7370175156739812,0.11911727077913818,0.5,0.5
0.7332777429467084,0.12203597339704428,0.4,0.6
0.7346918103448276,0.11273750476013039,0.5,0.5
0.7328399686520376,0.11950757731533361,0.6,0.4
0.7302768808777428,0.12864231778210955,0.5,0.5
0.7341670454545454,0.11776363130552615,0.6,0.4
0.7300135188087773,0.13265567939216127,0.5,0.5
0.731901528213166,0.13963486986312268,0.4,0.6
0.7357424764890281,0.1295871035824049,0.30000000000000004,0.7
0.7364182601880875,0.12516790322321195,0.20000000000000004,0.7999999999999999
0.7385947492163009,0.12133290217589653,0.10000000000000003,0.8999999999999999
0.7395334247648901,0.11086359626678233,0.20000000000000004,0.7999999999999999
0.7364942006269591,0.11576534936101787,0.30000000000000004,0.7
0.7341666927899685,0.12355868420563328,0.20000000000000004,0.7999999999999999
0.7373942789968652,0.11340733662111922,0.30000000000000004,0.7
0.7326671630094043,0.11656235062094664,0.4,0.6
0.7322175156739812,0.11896480348992937,0.5,0.5
0.7329695141065831,0.12678572459921603,0.4,0.6
0.7395586598746081,0.11477242115818309,0.5,0.5
0.7340669278996864,0.11819567476948026,0.6,0.4
0.7337682210031348,0.11932588322520137,0.7,0.30000000000000004
0.7293760971786835,0.1362376797526417,0.6,0.4
0.732441144200627,0.1194269875652556,0.7,0.30000000000000004
0.728226684952978,0.12559579148802547,0.6,0.4
0.7329290360501567,0.11542398280585812,0.7,0.30000000000000004
0.7267754310344827,0.12851419444403314,0.6,0.4
0.7230110893416928,0.1242632287896936,0.5,0.5
0.7302010971786834,0.09893802151200738,0.6,0.4
0.7278371865203762,0.11039929778068873,0.7,0.30000000000000004
0.7266983934169278,0.12393351476968101,0.6,0.4
0.7313251959247649,0.11282269655337837,0.7,0.30000000000000004
0.7213574451410659,0.13153935274213968,0.6,0.4
0.7202692789968652,0.13683731238390398,0.5,0.5
0.7255228056426333,0.12711971536929936,0.4,0.6
0.7300011755485893,0.11746903224055821,0.5,0.5
0.7304249216300941,0.12483398365967088,0.4,0.6
0.7350778605015675,0.1093084476946057,0.5,0.5
0.7328012147335424,0.11936354682767364,0.6,0.4
0.7287995689655172,0.12234793895570274,0.5,0.5
0.7324020768025079,0.11705644124721772,0.6,0.4
0.7293256661442008,0.12679703679875237,0.5,0.5
0.7332775862068966,0.11358516102110258,0.6,0.4
0.730989224137931,0.11900373938299369,0.7,0.30000000000000004
0.7277617554858936,0.12390110542425742,0.6,0.4
0.7332283307210032,0.11673505049364746,0.7,0.30000000000000004
0.7291124608150471,0.1298796034741872,0.6,0.4
0.731816065830721,0.12099645927566599,0.5,0.5
0.7320667319749217,0.12063909914803085,0.4,0.6
0.7341423981191223,0.10504296884969161,0.5,0.5
0.7307900078369904,0.11732914082028233,0.6,0.4
0.7309903996865204,0.12597519977755978,0.5,0.5
0.7329665360501568,0.12769098740029555,0.4,0.6
0.7366304858934168,0.11657860790749862,0.5,0.5
0.7306775470219435,0.13567232562106743,0.4,0.6
0.73673197492163,0.12606807006434176,0.30000000000000004,0.7
0.7394331896551722,0.11477243809804451,0.4,0.6
0.7325776253918497,0.11947042302842012,0.5,0.5
0.7315274294670847,0.12758888600842938,0.4,0.6
0.7377074059561131,0.11512105982467319,0.5,0.5
