Algorithm,Series,Iterations,T0,Tf,L,coolingFunction,Execution,MSE,Time
SA_GeometricCooling,TS1.txt,200,10,0.01,30,Geometric,13,0.7651176564049431,1.1942436695098877
SA_GeometricCooling,TS1.txt,200,10,0.01,30,Geometric,14,1.056055601613116,1.1693193912506104
SA_GeometricCooling,TS1.txt,200,10,0.01,30,Geometric,15,0.46741777938734125,1.2008020877838135
SA_GeometricCooling,TS1.txt,200,10,0.01,30,Geometric,16,0.9626935603862918,1.1857671737670898
SA_GeometricCooling,TS1.txt,200,10,0.01,30,Geometric,17,0.1695764809478879,1.1986896991729736
SA_GeometricCooling,TS1.txt,200,10,0.01,30,Geometric,18,0.9845707805614173,1.1789312362670898
SA_GeometricCooling,TS1.txt,200,10,0.01,30,Geometric,19,0.8818581548178592,1.2063729763031006
SA_GeometricCooling,TS1.txt,200,10,0.01,30,Geometric,20,0.9745139328712565,1.1942028999328613
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,1,1.1303192109527411,1.2933497428894043
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,2,1.21842115160589,1.2523062229156494
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,3,1.2931557030116994,1.2900798320770264
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,4,1.3606309614449548,1.2905385494232178
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,5,1.378362062262364,1.2408876419067383
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,6,1.2662785114511341,1.2714910507202148
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,7,1.1294308710197856,1.2973754405975342
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,8,1.285297290036049,1.280799150466919
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,9,1.3965552656727322,1.2995946407318115
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,10,1.3283607897491687,1.2883014678955078
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,11,1.5016504301779603,1.3058090209960938
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,12,1.3171555574305587,1.2766704559326172
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,13,1.314069147949009,1.308063268661499
SA_LinearCooling,TS2.txt,200,10,0.01,30,Linear,14,1.1460141547207816,1.3144001960754395
