Algoritmo,Varianza,Desviacion_Tipica,Tiempo_Segundos,Num_Combinaciones,Media_Accuracy,Max_Accuracy,Min_Accuracy,CPU_Media_%,Memoria_MB
Genetico - Gen 328,0.000933,0.030537,24846.79,17340,0.733,0.7455,0.5347,100.79,172.61
Genetico - Gen 329,0.000199,0.014096,24917.37,17398,0.7357,0.7455,0.6785,100.79,172.61
Genetico - Gen 330,0.000127,0.011263,24987.05,17447,0.7372,0.7461,0.6785,100.79,172.61
Genetico - Gen 331,0.000648,0.025453,25056.36,17496,0.7344,0.7461,0.586,100.78,172.61
Genetico - Gen 332,0.001043,0.0323,25131.52,17551,0.7315,0.7461,0.5441,100.79,172.61
Genetico - Gen 333,0.00095,0.030821,25217.08,17604,0.7343,0.7461,0.5441,100.79,172.61
Genetico - Gen 334,0.000471,0.021704,25313.13,17663,0.7331,0.7461,0.6223,100.79,172.61
Genetico - Gen 335,0.000401,0.020023,25392.25,17719,0.7354,0.7461,0.6223,100.79,172.61
Genetico - Gen 336,0.000325,0.01803,25469.42,17766,0.7377,0.7461,0.6223,100.79,172.61
Genetico - Gen 337,0.00111,0.033311,25558.34,17824,0.7337,0.7461,0.5347,100.79,172.61
Genetico - Gen 338,0.000284,0.016853,25636.01,17873,0.7389,0.7455,0.6242,100.79,172.61
Genetico - Gen 339,0.000517,0.022746,25722.74,17926,0.7348,0.7442,0.6242,100.79,172.61
Genetico - Gen 340,0.000271,0.016469,25817.89,17988,0.7346,0.7442,0.6754,100.79,172.62
Genetico - Gen 341,0.000355,0.018833,25892.77,18041,0.731,0.7436,0.6735,100.79,172.71
Genetico - Gen 342,0.000315,0.017752,25988.06,18095,0.7333,0.7436,0.6735,100.79,172.81
Genetico - Gen 343,0.000406,0.020144,26080.68,18147,0.7352,0.7455,0.6335,100.79,172.82
Genetico - Gen 344,0.000255,0.01598,26174.53,18204,0.7351,0.743,0.6735,100.79,172.89
Genetico - Gen 345,0.000598,0.024451,26261.05,18256,0.7299,0.7449,0.601,100.79,172.91
Genetico - Gen 346,0.000183,0.01351,26331.36,18301,0.7353,0.7449,0.676,100.79,173.02
Genetico - Gen 347,0.00018,0.013415,26402.98,18347,0.7356,0.7449,0.676,100.79,173.06
Genetico - Gen 348,0.000174,0.013176,26484.1,18397,0.7371,0.7449,0.676,100.79,173.07
Genetico - Gen 349,9.2e-05,0.009596,26560.8,18449,0.7381,0.7436,0.6835,100.79,173.13
