Número Serie,Media Error,Mejor Error,Varianza Error,Media Tiempo (s)
1,1.0840995436865632,0.1571224839241331,0.3197391776604598,0.16695041656494142
2,1.49424552422016,1.2066428059421148,0.03556427548291418,0.19606767892837523
3,0.7216045023608484,0.6401376704998449,0.0028535580457058874,0.5434458732604981
4,1.5219120517102211,1.3642944379881874,0.011846778484790233,9.64108511209488
